"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.532458337E-3,-4.257187782E-2,-3.667077642E-2,-7.763757527E-2,9.583685991E-2
1.358445833E-2,-6.377347978E-2,1.179482982E-2,-8.003025591E-2,1.030097888E-1
2.363545833E-2,-4.593669461E-2,4.569975447E-2,-8.213291466E-2,1.046157882E-1
3.368745834E-2,5.334396567E-3,4.185323674E-2,-8.050329566E-2,9.088965741E-2
4.373845833E-2,6.260670444E-2,5.273793831E-2,-7.543726802E-2,1.113178826E-1
5.378945833E-2,8.256030958E-2,3.556692260E-2,-7.036714733E-2,1.141610534E-1
6.384145834E-2,9.672444033E-2,-1.660234658E-2,-6.558880270E-2,1.180387492E-1
7.389245833E-2,1.359379516E-1,-5.419066991E-2,-6.484503686E-2,1.600644688E-1
8.394445833E-2,1.575799950E-1,-6.280152636E-2,-6.948129416E-2,1.833115839E-1
9.399545834E-2,1.894590879E-1,-4.929686104E-2,-7.545714855E-2,2.098063577E-1
1.040474583E-1,2.729533805E-1,5.130241033E-2,-8.307256222E-2,2.898905584E-1
1.140984583E-1,2.128964824E-1,1.181859693E-1,-5.910833359E-2,2.505726055E-1
1.241494583E-1,5.337113695E-2,7.851691428E-2,-4.532936990E-2,1.052052083E-1
1.342014583E-1,-8.476112846E-2,-1.516511011E-2,-9.996107519E-2,1.319342488E-1
1.442524583E-1,-2.407574234E-1,-3.665539459E-1,-9.846652687E-2,4.494681180E-1
1.543044583E-1,-3.681141657E-1,-6.546503907E-1,-1.215361315E-1,7.608194295E-1
1.643554583E-1,-3.135352316E-1,-4.205771387E-1,-8.383913219E-2,5.312423846E-1
1.744074583E-1,-4.280479435E-1,-1.928231738E-1,-9.120370030E-2,4.782509103E-1
1.844584583E-1,-4.814926640E-1,-3.763515587E-2,-1.111485529E-1,4.955861088E-1
1.945094583E-1,-3.366535874E-1,3.445736775E-1,-1.422943318E-1,5.023090025E-1
2.045614583E-1,-3.426275414E-1,4.786228140E-1,-3.817647099E-3,5.886323170E-1
2.146124583E-1,-2.445684924E-1,2.121309357E-1,-4.511945486E-2,3.268777241E-1
2.246644583E-1,-5.702307031E-2,-9.583961042E-2,-1.729764265E-1,2.058098773E-1
2.347154583E-1,2.979385695E-1,-1.719449046E-1,-1.010118198E-1,3.585189384E-1
2.447664583E-1,3.665792716E-1,-1.845359698E-1,-3.739762187E-2,4.121073509E-1
2.548184583E-1,3.637276942E-1,-9.255317372E-2,-9.184046209E-2,3.863917649E-1
2.648694583E-1,3.978777359E-1,8.367584869E-3,-9.774790406E-2,4.097942923E-1
2.749214583E-1,3.985472421E-1,3.906613399E-2,-5.872241735E-2,4.047399033E-1
2.849724583E-1,3.694827797E-1,3.607693685E-2,-7.985367000E-2,3.797310607E-1
2.950244583E-1,3.177033462E-1,6.547248879E-2,-1.170542407E-1,3.448532416E-1
3.050754583E-1,2.892390090E-1,1.029096250E-1,-7.844449103E-2,3.168645348E-1
3.151264583E-1,2.798983744E-1,2.117253764E-1,-6.641150594E-2,3.571851384E-1
3.251784583E-1,2.635095608E-1,2.973219807E-1,-1.264127094E-1,4.169146458E-1
3.352294583E-1,2.022784321E-1,6.820248616E-1,-2.461508220E-1,7.527713485E-1
3.452814583E-1,3.177158446E-1,1.629674989E0,-2.440043092E-1,1.678190106E0
3.553324583E-1,6.596895942E-1,1.667445664E0,1.136950153E-1,1.796800478E0
3.653844583E-1,2.278788140E0,1.792406509E0,1.781716776E-1,2.904710249E0
3.754354583E-1,3.612183835E0,3.485910582E0,-3.662988245E-2,5.020038485E0
3.854864583E-1,3.684840167E0,4.233709530E0,-1.825851560E-1,5.615663877E0
3.955384583E-1,2.553756526E0,3.600416021E0,-9.456760347E-2,4.415156957E0
4.055894583E-1,1.434443329E0,2.530673180E0,-2.405550367E-1,2.918869839E0
4.156414583E-1,-1.031803913E0,3.280696994E0,1.252356648E-2,3.439149447E0
4.256924583E-1,-1.485137227E0,4.457231920E0,3.190813887E-1,4.708966118E0
4.357444583E-1,-1.506939740E0,5.875723752E0,-1.183982817E0,6.180356972E0
4.457954583E-1,-2.053285298E0,9.173017191E0,3.766501504E-1,9.407554955E0
4.558464583E-1,-2.201924882E0,8.298245662E0,-1.737874353E-1,8.587173943E0
4.658984583E-1,-1.668823852E0,6.714825511E0,-2.667599183E-1,6.924233932E0
4.759494583E-1,-1.497749087E0,7.001837261E0,7.545317245E-1,7.199881629E0
4.860014583E-1,-1.652059300E0,6.693918207E0,3.276662707E-2,6.894846956E0
4.960524583E-1,-3.639417388E-1,5.884716770E0,-1.529963737E0,6.091234201E0
5.061034583E-1,-1.243147430E0,5.082193438E0,9.340687269E-1,5.314752117E0
5.161554583E-1,3.935269690E-1,5.340333976E0,-3.246034992E-1,5.364643314E0
5.262064583E-1,1.028830896E0,5.266526912E0,8.542279208E-1,5.433645560E0
5.362584583E-1,1.370754287E0,5.080028799E0,7.220907873E-1,5.311033329E0
5.463094583E-1,4.980583010E-1,6.271736957E0,-3.507109662E0,7.202955277E0
5.563614583E-1,1.052590399E0,5.843719602E0,2.957172014E0,6.633390661E0
5.664124583E-1,1.556210718E0,5.884253671E0,-1.407910126E0,6.247274925E0
5.764634583E-1,1.594136490E0,4.788135209E0,-1.416463434E0,5.241553070E0
5.865154583E-1,2.413717757E0,4.515001826E0,5.208828342E-1,5.146124156E0
5.965664583E-1,1.275664819E0,5.267926151E0,-1.003756428E-1,5.421110765E0
6.066184583E-1,-4.820905052E-1,2.583190240E0,7.753752941E-1,2.739797423E0
6.166694583E-1,-1.289499039E0,4.253978318E0,5.115144253E-1,4.474459332E0
6.267214583E-1,-1.806469648E0,3.694807039E0,-1.887488814E0,4.525212223E0
6.367724583E-1,-7.324205516E-1,3.919810236E0,9.453023976E-1,4.098164074E0
6.468234583E-1,-9.629506101E-1,3.671896771E0,-4.816702366E-1,3.826500489E0
6.568754583E-1,-4.474116924E-1,4.183196311E0,-5.801461190E-1,4.246866859E0
6.669264583E-1,3.966276743E-1,3.148282118E0,9.017915118E-1,3.298821264E0
6.769784583E-1,6.489022853E-1,3.542988762E0,-1.110894960E-1,3.603634890E0
6.870294583E-1,1.079335856E0,3.153550459E0,3.901578033E-1,3.355900699E0
6.970814583E-1,1.969937186E-1,4.504402870E0,2.217524377E0,5.024526456E0
7.071324583E-1,-4.875518777E-1,1.774325164E0,-2.544135225E0,3.139834496E0
7.171834583E-1,5.400822399E-1,4.990053014E0,6.152586490E-1,5.056763898E0
7.272354583E-1,6.059394298E-1,2.208459000E0,2.375600928E-1,2.302365858E0
7.372864583E-1,1.488698090E-1,4.029884363E0,-2.392902839E0,4.689148558E0
7.473384583E-1,-6.302917673E-1,4.040388886E0,1.017856404E0,4.214029155E0
7.573894583E-1,-7.260041825E-2,3.498990511E0,-8.850626278E-1,3.609922613E0
7.674414583E-1,-9.366441330E-1,4.870699356E0,5.863587856E-3,4.959944438E0
7.774924583E-1,-2.113663391E-1,3.611185715E0,-1.319580333E0,3.850536359E0
7.875434583E-1,-1.028758172E0,4.846517026E0,6.920624113E-1,5.002601427E0
7.975954583E-1,-5.319628328E-1,4.809726053E0,-3.415504843E-1,4.851093268E0
8.076464583E-1,-3.848353022E-1,3.999134733E0,1.711219820E0,4.366858149E0
8.176984583E-1,2.238612908E-2,3.963811703E0,-1.135994718E0,4.123443750E0
8.277494583E-1,3.589979363E-2,2.879648167E0,-6.713656068E-1,2.957092176E0
8.378014583E-1,-8.009041828E-2,2.184623263E0,1.438771731E-1,2.190820376E0
8.478524583E-1,6.815105990E-1,2.379724092E0,7.086954010E-1,2.574838368E0
8.579036667E-1,5.510706564E-1,1.966075246E0,-9.516659224E-1,2.252731402E0
8.679556667E-1,1.519087331E0,1.503567066E0,7.695462048E-1,2.271682549E0
8.780066667E-1,1.578916334E-1,1.867897572E0,-2.106839508E-1,1.886361268E0
8.880586667E-1,1.796505261E0,2.547604670E0,-1.133893229E0,3.317142530E0
8.981096667E-1,9.678372013E-1,1.530425959E0,1.766625697E0,2.529798177E0
9.081606667E-1,2.484898545E-1,3.560276348E0,-1.343969069E0,3.813602986E0
9.182126667E-1,7.862376301E-2,2.200610721E0,9.139841259E-1,2.384163631E0
9.282636667E-1,8.821332458E-1,3.046241480E0,-9.774041963E-1,3.318593856E0
9.383156667E-1,-2.141250737E-1,1.081479957E0,1.579537016E0,1.926236130E0
9.483666667E-1,2.105489678E0,1.203399081E0,-1.120234133E0,2.671363069E0
9.584186667E-1,7.611684604E-1,4.141010550E-1,4.730397463E-4,8.665202437E-1
9.684696667E-1,6.252036665E-1,1.608152120E0,2.606696924E0,3.126004113E0
9.785206667E-1,1.022280919E0,1.532751543E0,-9.291822088E-1,2.063435278E0
9.885726667E-1,-3.624550842E-1,3.074230055E0,-2.278205026E0,3.843498701E0
9.986236667E-1,6.453767797E-1,1.925001041E0,3.147994727E-1,2.054565381E0
1.008675667E0,1.545085075E-1,3.001910230E0,1.442531490E-1,3.009343264E0
1.018726667E0,-4.289489994E-1,3.051203135E0,1.205565475E0,3.308659234E0
1.028778667E0,-2.016057830E0,3.868328718E0,-2.417112066E0,4.987071985E0
1.038829667E0,-3.912544120E-1,2.606262476E0,4.302539152E-1,2.670356257E0
1.048880667E0,-9.234699176E-1,1.608208107E0,-4.320390701E-2,1.854992340E0
1.058932667E0,-5.572449507E-2,4.219929982E0,-1.918362697E0,4.635841855E0
1.068983667E0,-1.293763998E0,2.603249406E0,1.530797549E0,3.285433592E0
1.079035667E0,1.102543528E0,2.476144678E0,-6.599869251E-2,2.711318964E0
1.089086667E0,1.572255916E0,1.837038891E0,-1.464239863E0,2.826782434E0
1.099138667E0,-1.159737191E0,2.173503760E0,9.219538808E-2,2.465280701E0
1.109189667E0,8.641608784E-1,5.365283022E-1,-2.104763746E-1,1.038718897E0
1.119240667E0,-9.385748836E-1,-2.557910680E0,1.526620299E0,3.123203387E0
1.129292667E0,2.662619183E-1,-4.938704155E-1,-1.199128860E0,1.323900834E0
1.139343667E0,-1.908496288E-1,-4.019517834E0,7.624751669E-1,4.095645930E0
1.149395667E0,-1.954079829E0,-2.917418256E0,-1.544694042E0,3.836122645E0
1.159446667E0,-2.664566854E-1,-3.523576006E0,-1.532778001E0,3.851752256E0
1.169497667E0,-2.559381840E0,-3.532271693E0,1.417636385E0,4.586618758E0
1.179549667E0,3.320133101E-2,-3.521681508E0,-1.223094842E0,3.728177030E0
1.189600667E0,-2.210302627E0,-1.986357922E0,-4.372881156E-1,3.003710437E0
1.199652667E0,8.092384934E-1,-1.056438964E0,-7.511754227E-1,1.528134398E0
1.209703667E0,-2.251231674E0,-3.281417955E-1,2.054611593E0,3.065477106E0
1.219755667E0,1.065942809E0,2.482319923E0,-2.108153377E0,3.426726854E0
1.229806667E0,8.682789079E-2,1.400094446E0,4.696682417E-1,1.479321397E0
1.239857667E0,-3.096538352E0,6.332245114E0,7.867428660E-2,7.049260075E0
1.249909667E0,3.769764616E-1,3.521780326E0,-2.182818228E-1,3.548618728E0
1.259960667E0,-2.971079908E0,3.467507932E0,-4.183858216E-1,4.585408791E0
1.270012667E0,-1.135275291E0,3.151735191E0,-9.436897355E-1,3.480349841E0
1.280063667E0,9.306059327E-1,2.085916124E0,-5.125376880E-2,2.284666371E0
1.290115667E0,-8.461898630E-2,3.337198346E0,2.781859624E-1,3.349841878E0
1.300166667E0,-2.192774209E-1,3.751282956E0,-3.717899448E-1,3.776034185E0
1.310217667E0,-7.866163469E-1,5.213133647E0,-2.050400428E0,5.656825047E0
1.320269667E0,9.562404916E-1,5.894716094E0,-2.194415011E0,6.362195450E0
1.330320667E0,-7.916634442E-1,5.883187138E0,1.473934547E0,6.116461801E0
1.340372667E0,-1.026378940E0,6.652269074E0,-5.581290132E-1,6.754083621E0
1.350423667E0,1.626998573E0,6.591545155E0,-7.794490492E-1,6.833969030E0
1.360475667E0,1.401004711E0,4.322377878E0,1.349654317E-2,4.543781121E0
1.370526667E0,1.433512599E0,3.306912693E0,-6.790196121E-2,3.604891206E0
1.380577667E0,-1.979583995E-3,1.361958613E0,-6.091348600E-1,1.491972004E0
1.390629667E0,7.461145844E-1,-1.249977928E-1,1.104875252E0,1.339052181E0
1.400680667E0,1.681666531E-1,6.240064491E-1,-1.892774697E0,2.000065030E0
1.410732667E0,-9.013358675E-1,-3.152893597E-1,1.979163800E0,2.197476524E0
1.420783667E0,1.241230128E0,1.247700511E0,-1.942772484E-1,1.770636169E0
1.430835667E0,2.041065458E-1,3.429411349E-1,-2.394299154E0,2.427331157E0
1.440886667E0,-3.958538319E-1,2.743013647E-1,2.321434076E0,2.370864329E0
1.450937667E0,-1.923521111E0,-6.661950693E-2,-7.768897229E-1,2.075555170E0
1.460989667E0,1.612368547E0,-5.949391726E-1,-1.931889646E0,2.585707360E0
1.471040667E0,-4.094273756E-1,-7.609533560E-2,1.867034669E0,1.912913937E0
1.481092667E0,2.454789587E-1,1.617674018E0,-1.243822052E0,2.055291329E0
1.491143667E0,1.831422494E-1,-8.835334347E-1,-2.314813274E-1,9.315342284E-1
1.501194667E0,-3.303641029E-1,5.869116033E-1,1.199821170E0,1.375927509E0
1.511246667E0,1.537315002E0,-9.369397098E-1,7.984957695E-2,1.802101382E0
1.521297667E0,-2.280307100E0,-3.943138945E-1,-9.663652378E-1,2.507816918E0
1.531349667E0,-8.217169632E-1,-6.512473843E-1,-9.911328739E-1,1.442805010E0
1.541400667E0,-2.229930341E-1,9.026596771E-1,1.997981894E0,2.203735927E0
1.551452667E0,-2.259517618E0,-5.624023046E-1,-1.498408068E0,2.768924512E0
1.561503667E0,3.441949168E0,9.431927953E-1,-4.162656212E-1,3.593035457E0
1.571554667E0,7.058975814E-1,3.241784066E-1,-6.316027862E-1,1.001151894E0
1.581606667E0,1.537233287E0,1.195621407E0,1.609726775E-1,1.954100543E0
1.591657667E0,1.644420498E0,1.490596188E0,4.276799709E-1,2.260288903E0
1.601709667E0,-1.829964345E0,3.158082636E-1,-3.213347302E0,3.711348171E0
1.611760667E0,-1.668923401E0,9.393218654E-1,2.512976582E0,3.159538287E0
1.621812667E0,-2.392162582E0,3.202460664E0,-5.682826447E0,6.947856687E0
1.631863667E0,-3.471920534E0,3.890080653E0,4.283652061E0,6.748083777E0
1.641914667E0,-3.069274247E0,3.882927462E0,-6.408162439E-1,4.990813114E0
1.651966667E0,1.751830341E0,3.710838058E0,-1.774258652E0,4.470707148E0
1.662017667E0,-4.297923652E0,2.487171650E0,6.804457480E-1,5.012103047E0
1.672069667E0,2.463597431E0,3.036262330E0,5.918130684E-1,3.954547249E0
1.682120667E0,-4.518059919E0,1.977160544E0,-9.174100095E-1,5.016340337E0
1.692171667E0,-2.369152911E0,3.022415538E0,1.122416899E0,4.000962496E0
1.702223667E0,-2.317189290E0,9.027743556E-1,1.515119995E0,2.912036460E0
1.712274667E0,-5.752678601E-1,1.870468921E-1,1.805240124E-1,6.312753518E-1
1.722326667E0,-3.038709097E0,-1.818065846E0,-1.402159975E0,3.808565214E0
1.732377667E0,9.931390536E-1,-1.544166185E0,1.440838721E0,2.333836028E0
1.742429667E0,-2.743239350E0,-2.293543589E0,-3.525315553E-1,3.593046454E0
1.752480667E0,-1.163523336E0,-3.221554454E0,1.775167894E-1,3.429826798E0
1.762531667E0,-8.120298079E-1,-1.861241248E0,1.059755212E-1,2.033431140E0
1.772583667E0,-1.491172869E0,-1.220901625E0,2.410052723E-1,1.942236043E0
1.782634667E0,2.705897569E0,-8.078749958E-1,4.694337684E-1,2.862675623E0
1.792686667E0,-8.342130478E-1,-5.892587122E-1,1.295237204E0,1.649477692E0
1.802737667E0,-4.802760046E-1,6.261633407E-1,-6.376546544E-1,1.014568395E0
1.812789667E0,-5.222456374E-1,-6.948381577E-2,-3.933685094E-1,6.575007914E-1
1.822840667E0,-4.784648807E0,-9.004209610E-2,-4.016563529E-1,4.802322314E0
1.832891667E0,-1.918936455E0,-7.563610259E-1,4.999924868E-1,2.122355203E0
1.842943667E0,-3.746436491E0,-1.298837043E0,1.564434827E0,4.262654147E0
1.852994667E0,-1.223515623E-1,-1.525914101E0,-6.101049131E-1,1.647911331E0
1.863046667E0,-6.676940670E-1,-5.594064105E-2,-2.682485610E0,2.764900318E0
1.873097667E0,1.629754365E0,-1.862009572E0,1.239186965E0,2.767447067E0
1.883149667E0,-2.390863915E0,1.413341605E0,-7.621635103E-1,2.880044786E0
1.893200667E0,1.929840928E0,3.499953255E-2,-1.671789122E0,2.553505403E0
1.903251667E0,3.788664498E0,8.408031522E-1,-3.294835854E-1,3.894802697E0
1.913303667E0,-1.279099474E0,5.727590756E-2,-3.795863882E0,4.005990340E0
1.923354667E0,4.136998630E0,-1.616442302E0,2.746058877E0,5.221923279E0
1.933406667E0,3.407889722E0,-1.741821223E0,1.924341475E0,4.283776797E0
1.943457667E0,5.279088759E-2,3.477307354E-1,-1.728717613E-1,3.919032891E-1
1.953508667E0,1.365564298E0,-1.533121672E0,-8.983907712E-1,2.241056423E0
1.963560667E0,8.746426702E-1,-1.595885538E0,-2.734794801E0,3.284958608E0
1.973611667E0,1.637740200E0,-1.797146993E0,3.745662028E-1,2.460128070E0
1.983663667E0,3.700420658E0,-2.072825231E0,-1.253091643E0,4.422663921E0
1.993714667E0,6.660672108E0,-9.131954096E-1,-2.717099372E0,7.251283182E0
2.003766667E0,2.414715585E0,6.916714519E-1,2.110547227E0,3.280803309E0
2.013817667E0,7.321881686E0,4.343495243E-1,9.397393566E-1,7.394708986E0
2.023868667E0,1.747759071E0,1.400815407E0,-2.863755727E-1,2.258086921E0
2.033920667E0,3.167475895E0,1.786422688E-1,-2.412292791E0,3.985470250E0
2.043971667E0,5.258456585E0,-2.231791583E-1,-1.217224238E0,5.402111572E0
2.054023667E0,3.053046470E0,5.152286863E-1,3.275656402E0,4.507380415E0
2.064074667E0,6.337830375E0,8.587207751E-1,-2.043998312E0,6.714419136E0
2.074126667E0,3.222866277E0,6.072284119E-1,3.062969195E0,4.487468515E0
2.084177667E0,2.877451075E0,7.572912448E-1,-4.021539509E0,5.002598799E0
2.094228667E0,3.005283489E0,-7.546698649E-1,3.075182859E0,4.365547511E0
2.104280667E0,-9.091834887E-1,8.053545535E-1,-1.140328090E0,1.666000818E0
2.114331667E0,6.221007684E-1,7.844210098E-1,-1.842224348E0,2.096691736E0
2.124383667E0,-1.250574125E0,9.099292280E-1,1.627108208E0,2.244858116E0
2.134434667E0,4.102570589E-1,1.389426639E0,-1.505910630E0,2.089637305E0
2.144485667E0,-1.119505278E0,7.352462916E-1,7.828837037E-1,1.551381987E0
2.154537667E0,-4.761221060E0,1.940460933E0,-2.141174358E0,5.569492100E0
2.164588667E0,-1.191785122E0,-1.543278285E-1,-1.170004463E0,1.677223688E0
2.174640667E0,-8.220226264E0,-1.965424597E0,-3.462547447E0,9.133687563E0
2.184691667E0,-4.419073575E0,7.399853137E-1,2.141345682E0,4.965999482E0
2.194743667E0,-6.007452750E0,3.355057424E-1,-1.307466656E-1,6.018234570E0
2.204794667E0,-4.666566041E0,2.200582362E0,-1.349069595E0,5.332859469E0
2.214845667E0,-3.103628393E0,1.710047161E0,2.021499395E-1,3.549314736E0
2.224897667E0,-4.162925184E0,1.464049682E0,-5.807308406E-1,4.450914049E0
2.234948667E0,-2.842686162E0,-1.186715367E0,-3.737557787E-1,3.103039053E0
2.245000667E0,-3.031307399E0,3.797121180E-1,-2.095460826E0,3.704586605E0
2.255051667E0,-3.032441174E0,8.027688416E-1,3.912564951E0,5.014808250E0
2.265102667E0,-1.462029908E0,7.300679974E-1,-2.360581770E0,2.871041105E0
2.275154667E0,-1.983989653E0,1.658307196E0,4.023755604E-1,2.616888189E0
2.285205667E0,7.467631868E-1,2.140600600E0,1.028565579E0,2.489532755E0
2.295257667E0,-3.050567835E0,1.190281237E-1,-2.397719191E0,3.881905348E0
2.305308667E0,-1.230623644E-1,1.047139990E0,1.874377602E0,2.150566879E0
2.315360667E0,-4.506436239E0,2.521495171E-1,-3.682961749E0,5.825440259E0
2.325411667E0,-1.136454090E0,-4.549323081E-1,2.865274833E0,3.115813084E0
2.335462667E0,-4.804248089E0,-5.391211038E-1,-1.775003003E0,5.149959895E0
2.345514667E0,2.018460597E0,-6.360229889E-1,2.062196016E-2,2.116396393E0
2.355565667E0,-1.539481980E0,-1.422754891E0,2.494656086E-2,2.096391800E0
2.365617667E0,2.949157527E0,-2.916616310E0,3.978229183E-1,4.166826598E0
2.375668667E0,-1.427676931E0,-3.989046240E0,2.182315367E-1,4.242449331E0
2.385720667E0,-1.871346113E0,-3.961738573E0,1.180427125E0,4.537699527E0
2.395771667E0,-4.707182847E0,-3.981023860E0,-5.003479975E-1,6.185181440E0
2.405822667E0,-4.589750292E0,-3.958167971E0,2.861855382E-1,6.067520382E0
